problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,2665,10581,83.28125,14.5,141.86846119648322,20126.660282258064,8,700,330.65625,328.0,4.209125071908382,17.71673387096774,326,335,0.47,0.47,1.0,0.54
Crossing Minimization,32,11696,26284,365.5,356.0,92.94049431690671,8637.935483870968,232,682,821.375,823.5,38.1886235381944,1458.3709677419354,759,885,0.92,0.92,0.93,0.92
Graceful Graphs,32,1512,10519,47.25,48.0,2.9512162610277883,8.709677419354838,42,54,328.71875,329.0,2.0515041688572584,4.20866935483871,325,332,0.96,0.96,0.94,0.95
Graph Colouring,32,19759,23952,617.46875,623.0,222.651613350138,49573.740927419356,168,1163,748.5,739.0,100.95319899387425,10191.548387096775,478,875,0.79,0.79,0.86,0.82
Incremental Scheduling,32,102441,51299,3201.28125,510.5,14387.394173786133,206997111.11189517,279,81920,1603.09375,1540.0,86.15528342999764,7422.732862903225,1515,1716,0.78,0.78,0.78,0.76
Knight Tour,32,3411,10656,106.59375,45.0,116.00329788832619,13456.765120967742,12,354,333.0,340.5,26.314475349191856,692.4516129032259,291,374,0.58,0.58,0.58,0.58
Knight Tour With Holes,32,1942,12524,60.6875,62.0,2.9885534314954496,8.931451612903226,53,69,391.375,392.0,3.159726407102668,9.983870967741936,380,396,0.79,0.79,0.79,0.79
Labyrinth,32,124245,36312,3882.65625,438.0,14558.584946766556,211952395.65221775,119,81920,1134.75,1134.5,1.3912166872805047,1.935483870967742,1131,1138,0.96,0.96,0.51,0.58
Maximal Clique Problem,32,3329,17689,104.03125,106.0,14.811687571295764,219.3860887096774,59,131,552.78125,555.0,7.307682104603037,53.40221774193548,533,564,0.97,0.97,0.92,0.94
Nomystery,32,5602,36635,175.0625,177.0,27.24907515447439,742.5120967741935,104,230,1144.84375,1155.0,28.08180374571589,788.5877016129032,1094,1177,0.96,0.96,0.81,0.88
Partner Units,32,4987,18057,155.84375,165.0,30.061345209528657,903.6844758064516,130,240,564.28125,563.0,4.907100681336607,24.079637096774192,562,589,0.25,0.25,0.23,0.24
Permutation Pattern Matching,32,3252,20924,101.625,101.0,16.503665282049788,272.3709677419355,84,173,653.875,654.5,11.953539089917829,142.88709677419354,628,678,0.69,0.69,0.68,0.69
Ricochet Robots,32,4798,29936,149.9375,141.0,28.914710509893883,836.0604838709677,111,196,935.5,934.0,7.3308891332409996,53.74193548387097,926,955,0.75,0.75,0.6,0.66
Sokoban,32,12918,39401,403.6875,386.0,120.52156479504056,14525.447580645161,217,661,1231.28125,1222.5,41.56008815461482,1727.2409274193549,1186,1353,0.78,0.78,0.66,0.71
Stable Marriage,32,5731,27393,179.09375,176.0,25.945798808409265,673.1844758064516,143,308,856.03125,855.0,4.98050635461768,24.805443548387096,843,866,0.73,0.73,0.73,0.73
Valves Location Problem,32,5966,31788,186.4375,173.0,44.554379604428156,1985.092741935484,135,341,993.375,992.5,11.335784048754634,128.5,972,1018,0.9,0.9,0.91,0.9
